EventID,EventName,EventDate,Location,Description
1,Charity Run,2024-01-20,Central Park,Annual charity run event
2,Food Drive,2024-02-15,Community Center,Collecting food for the needy
3,Health Fair,2024-03-10,City Hall,Health services and screenings
4,Music Festival,2024-04-05,Downtown Plaza,Live music and entertainment
5,Book Fair,2024-05-15,Library,Book sales and author readings
6,Art Exhibition,2024-06-20,Art Gallery,Local artists showcase
7,Community Clean-Up,2024-07-25,Various Locations,Neighborhood clean-up event
8,Blood Drive,2024-08-30,Health Center,Blood donation event
9,Job Fair,2024-09-10,Convention Center,Connecting job seekers with employers
10,Fundraising Gala,2024-10-05,Hotel Ballroom,Annual fundraising dinner and auction
