ReportID,ReportType,GeneratedDate,Content,DonorID,DonationID,VolunteerID,ActivityID,EventID
1,Donation Report,2024-01-21,Report Content 1,1,1,,,1
2,Event Summary,2024-02-16,Report Content 2,,,,,2
3,Volunteer Hours,2024-03-11,Report Content 3,,,3,3,3
4,Annual Report,2024-04-06,Report Content 4,4,,,,4
5,Fundraising Summary,2024-05-16,Report Content 5,5,5,,,5
6,Event Participation,2024-06-21,Report Content 6,,,6,6,6
7,Volunteer Contribution,2024-07-26,Report Content 7,,,7,,7
8,Monthly Report,2024-08-31,Report Content 8,8,8,,,8
9,Quarterly Report,2024-09-11,Report Content 9,,9,,,9
10,Special Event Report,2024-10-06,Report Content 10,10,,,,10
